prep,model,target,n_features,run_MAE,run_MAPE,base_MAE,base_MAPE,win_MAE,win_R2,improve_vs_base_%
A+B,LightGBM,Remain_PR,29,0.15257828059014367,7.309441450299377,0.1320260854635329,6.365687548927608,0.1466327179000344,-1.8153845710374088,-15.56676853248635
A+B+C,RandomForest,Poly_ER,151,1938.925,95.64397225606271,1429.0633834239716,64.70153608445368,1868.6150943396228,-2.8257471880108795,-35.678026775441054
A+B+C,RandomForest,Poly_Depth,151,258.5233333333333,95.64397225606271,190.54178445652954,64.70153608445369,249.148679245283,-2.825747188010881,-35.67802677544105
A+B+C,RandomForest,Remain_PR,151,0.1768444444444394,8.429937495797478,0.1320260854635329,6.365687548927608,0.17209559748427225,-2.671428713993687,-33.946593829206456
A+B+C,XGBoost,Poly_ER,151,1418.6929524739583,62.9017613239269,1429.0633834239716,64.70153608445368,1671.6837814618957,-2.3045383080793407,0.7256802651514469
A+B+C,XGBoost,Poly_Depth,151,189.1585693359375,62.90156817024209,190.54178445652954,64.70153608445369,222.8907896797612,-2.304528737761342,0.72593794822343
A+B+C,XGBoost,Remain_PR,151,0.1258511066436768,6.068661556688213,0.1320260854635329,6.365687548927608,0.15323927942311988,-2.1788412324214486,4.677089984283217
A+B+C,LightGBM,Poly_ER,151,1751.438609421352,84.4269893972187,1429.0633834239716,64.70153608445368,1590.1659729078438,-2.1266942221679526,-22.55849738623797
A+B+C,LightGBM,Poly_Depth,151,233.52514797454327,84.4269894183615,190.54178445652954,64.70153608445369,212.02212982739317,-2.1266942243465867,-22.5584974133692
A+B+C,LightGBM,Remain_PR,151,0.15963007042066427,7.6358433928452305,0.1320260854635329,6.365687548927608,0.14838865143987703,-1.9440717455779088,-20.907978041018193
A+B+C+D,RandomForest,Poly_ER,159,1951.0333333333335,96.35422092504344,1429.0633834239716,64.70153608445368,1882.1688679245283,-2.8748051004218618,-36.525318328340724
A+B+C+D,RandomForest,Poly_Depth,159,260.1377777777778,96.35422092504344,190.54178445652954,64.70153608445369,250.95584905660374,-2.8748051004218627,-36.52531832834072
A+B+C+D,RandomForest,Remain_PR,159,0.1774888888888837,8.459819650679627,0.1320260854635329,6.365687548927608,0.17247861635219686,-2.6832262355571306,-34.43471285673175
A+B+C+D,XGBoost,Poly_ER,159,1495.460693359375,67.45241242131863,1429.0633834239716,64.70153608445368,1779.2061917286999,-2.7256246559567026,-4.646211687008483
A+B+C+D,XGBoost,Poly_Depth,159,199.3942413330078,67.45225068864244,190.54178445652954,64.70153608445369,237.22712477198186,-2.7256128234240484,-4.645939945260606
A+B+C+D,XGBoost,Remain_PR,159,0.13235977490743003,6.36841530581531,0.1320260854635329,6.365687548927608,0.16251628353910627,-2.578885494898902,-0.25274508649225097
A+B+C+D,LightGBM,Poly_ER,159,1766.5991281746064,85.38895165673675,1429.0633834239716,64.70153608445368,1584.0024154986259,-2.1307381668045897,-23.619368368526413
A+B+C+D,LightGBM,Poly_Depth,159,235.54655058027456,85.38895172628216,190.54178445652954,64.70153608445369,211.20032228520043,-2.13073817109888,-23.61936845091973
A+B+C+D,LightGBM,Remain_PR,159,0.16111073003163545,7.70441907994842,0.1320260854635329,6.365687548927608,0.1479123287416847,-1.9454957445295205,-22.029468241816552
A+B+C+D+E,RandomForest,Poly_ER,159,2014.7083333333333,100.38480961557686,1429.0633834239716,64.70153608445368,1982.5445754716984,-3.2756593243017704,-40.981033920705656
A+B+C+D+E,RandomForest,Poly_Depth,159,268.62777777777774,100.38480961557686,190.54178445652954,64.70153608445369,264.3392767295598,-3.2756593243017713,-40.98103392070564
A+B+C+D+E,RandomForest,Remain_PR,159,0.18487777777777178,8.80555426254323,0.1320260854635329,6.365687548927608,0.18443018867923977,-3.171628507433078,-40.03124998266887
A+B+C+D+E,XGBoost,Poly_ER,159,2027.1852620442708,100.79699417780526,1429.0633834239716,64.70153608445368,2006.0742049307194,-3.3692170841084508,-41.854118267814414
A+B+C+D+E,XGBoost,Poly_Depth,159,270.2915954589844,100.79708878266382,190.54178445652954,64.70153608445369,267.4767405671893,-3.3692229370836166,-41.854237499622585
A+B+C+D+E,XGBoost,Remain_PR,159,0.18361825942993168,8.741322516152044,0.1320260854635329,6.365687548927608,0.1844571536442019,-3.159541380803277,-39.07725794130973
A+B+C+D+E,LightGBM,Poly_ER,159,1854.7308136782576,90.95408511237079,1429.0633834239716,64.70153608445368,1721.6127756101503,-2.467348802667451,-29.78646260142822
A+B+C+D+E,LightGBM,Poly_Depth,159,247.29744180776842,90.95408510633376,190.54178445652954,64.70153608445369,229.54837000321552,-2.467348801828534,-29.786462593031498
A+B+C+D+E,LightGBM,Remain_PR,159,0.1707993069645403,8.15566208991963,0.1320260854635329,6.365687548927608,0.1618867531399354,-2.3780170018959086,-29.367849061704554
A+B(only),RandomForest,Poly_ER,29,1733.2291666666667,83.29011293395342,1429.0633834239716,64.70153608445368,1548.2686320754717,-1.870572278978825,-21.284275195263042
A+B(only),RandomForest,Poly_Depth,29,231.0972222222222,83.29011293395342,190.54178445652954,64.70153608445369,206.43581761006286,-1.8705722789788264,-21.284275195263028
A+B(only),RandomForest,Remain_PR,29,0.1568333333333293,7.505469440953129,0.1320260854635329,6.365687548927608,0.14169402515722962,-1.6316528707275229,-18.789656440013477
A+B(only),XGBoost,Poly_ER,29,1133.9180908203125,45.93272025454705,1429.0633834239716,64.70153608445368,1244.903837383918,-1.168846002737641,20.65305822170772
