model,window,stride,n_windows,target,seed,MAPE,MAE,base_MAPE
LSTM,64,16,154,Poly_ER,0,22.376520221392635,728.4977823893229,62.535572453929035
LSTM,64,16,154,Poly_ER,1,22.51055683399987,730.7685953776041,62.535572453929035
LSTM,64,16,154,Poly_ER,2,22.73802800103493,740.6141560872396,62.535572453929035
LSTM,64,16,154,Poly_ER,3,21.116052184804346,710.2314046223959,62.535572453929035
LSTM,64,16,154,Poly_ER,4,22.0246715045315,722.7895711263021,62.535572453929035
LSTM,64,16,154,Remain_PR,0,3.526883314894095,0.07047514120737712,6.20271429681628
LSTM,64,16,154,Remain_PR,1,3.4937374750147208,0.06981635093688965,6.20271429681628
LSTM,64,16,154,Remain_PR,2,3.572872717510721,0.07157301902770996,6.20271429681628
LSTM,64,16,154,Remain_PR,3,3.437407859037187,0.06856779257456462,6.20271429681628
LSTM,64,16,154,Remain_PR,4,3.48100598588365,0.06947394212086995,6.20271429681628
PatchTST,64,16,154,Poly_ER,0,38.60779727738641,1004.5428466796875,62.535572453929035
PatchTST,64,16,154,Poly_ER,1,51.161802309955476,1207.4735107421875,62.535572453929035
PatchTST,64,16,154,Poly_ER,2,45.044505811995144,1105.2277425130208,62.535572453929035
PatchTST,64,16,154,Poly_ER,3,44.1042730114503,1088.64208984375,62.535572453929035
PatchTST,64,16,154,Poly_ER,4,45.39944498089986,1114.4249674479167,62.535572453929035
PatchTST,64,16,154,Remain_PR,0,5.225162996745886,0.10729559262593587,6.20271429681628
PatchTST,64,16,154,Remain_PR,1,4.92848372197082,0.10087060928344727,6.20271429681628
PatchTST,64,16,154,Remain_PR,2,4.999240617389489,0.10239644845326741,6.20271429681628
PatchTST,64,16,154,Remain_PR,3,5.154711604038561,0.10575767358144124,6.20271429681628
PatchTST,64,16,154,Remain_PR,4,4.919718795272356,0.1006696621576945,6.20271429681628
XGBoost,96,24,96,Poly_ER,0,57.56615598036446,1314.1554361979167,63.240055076428305
XGBoost,96,24,96,Remain_PR,0,5.914083777763823,0.12222611904144287,6.25259228497977
LSTM,96,24,96,Poly_ER,0,22.664000230268325,731.0264485677084,63.240055076428305
LSTM,96,24,96,Poly_ER,1,21.529234112967913,713.2057698567709,63.240055076428305
LSTM,96,24,96,Poly_ER,2,20.41707518179695,693.759033203125,63.240055076428305
LSTM,96,24,96,Poly_ER,3,22.616528669668533,730.7060953776041,63.240055076428305
LSTM,96,24,96,Poly_ER,4,51.14224692621158,1211.9647623697917,63.240055076428305
LSTM,96,24,96,Remain_PR,0,3.6213416217165486,0.07249693075815837,6.25259228497977
LSTM,96,24,96,Remain_PR,1,3.99526861753246,0.08061794439951579,6.25259228497977
LSTM,96,24,96,Remain_PR,2,3.567951662739182,0.07133253415425618,6.25259228497977
LSTM,96,24,96,Remain_PR,3,3.620405870839765,0.07245596249898274,6.25259228497977
LSTM,96,24,96,Remain_PR,4,3.613674700023748,0.07231573263804118,6.25259228497977
PatchTST,96,24,96,Poly_ER,0,51.11162303343092,1211.0710856119792,63.240055076428305
PatchTST,96,24,96,Poly_ER,1,49.154314035285985,1178.4843343098958,63.240055076428305
PatchTST,96,24,96,Poly_ER,2,46.31091443257613,1130.6047770182292,63.240055076428305
PatchTST,96,24,96,Poly_ER,3,48.35958590033937,1162.5694580078125,63.240055076428305
PatchTST,96,24,96,Poly_ER,4,51.62403114399018,1215.301778157552,63.240055076428305
PatchTST,96,24,96,Remain_PR,0,5.43480311371869,0.11185201009114583,6.25259228497977
PatchTST,96,24,96,Remain_PR,1,5.33017232764982,0.10960447788238525,6.25259228497977
PatchTST,96,24,96,Remain_PR,2,5.284699532449452,0.10862135887145996,6.25259228497977
PatchTST,96,24,96,Remain_PR,3,5.086576669392049,0.10430864493052165,6.25259228497977
PatchTST,96,24,96,Remain_PR,4,5.468847348189861,0.1126020352045695,6.25259228497977
XGBoost,128,32,67,Poly_ER,0,66.99899834669084,1470.5675659179688,63.055331776231895
XGBoost,128,32,67,Remain_PR,0,6.5460191053182015,0.13591641187667847,6.243690686271433
